country,channel,date,revenue,net_revenue
BBB,Partner,2024-07-31,168400.67,185658.25
CCC,Partner,2024-08-31,629227.32,568068.83
DDD,Partner,2024-09-30,492438.71,479731.97
DDD,Retail,2024-10-31,510194.34,225046.09
BBB,Retail,2024-11-30,14361.93,511016.31
CCC,Online,2024-12-31,780842.32,365391.44
CCC,Online,2025-01-31,257152.54,232950.34
BBB,Online,2025-02-28,833666.29,624976.88
CCC,Online,2025-03-31,899616.58,373736.07
DDD,Partner,2025-04-30,49782.7,256011.42
AAA,Partner,2025-05-31,611201.32,78647.16
DDD,Partner,2025-06-30,611042.16,159681.81
CCC,Online,2025-07-31,936879.75,768508.03
AAA,Retail,2025-08-31,171416.76,650696.47
DDD,Online,2025-09-30,851100.24,619862.84
CCC,Retail,2025-10-31,592985.3,591804.32
DDD,Retail,2025-11-30,801806.04,540548.9
CCC,Partner,2025-12-31,123193.34,32252.35
CCC,Partner,2026-01-31,919873.35,253179.17
AAA,Partner,2026-02-28,553283.66,644225.46
